legid,fullname,pr_url,xpath_pr,rss,xpath_date
PAL000148,Nick Kotik,http://www.pahouse.com/pr/xml/307.xml,NULL,TRUE,
PAL000150,Deberah Kula,http://www.pahouse.com/pr/xml/371.xml,NULL,TRUE,
PAL000153,Mark Longietti,http://www.pahouse.com/pr/xml/373.xml,NULL,TRUE,
PAL000154,John Maher,http://www.repmaher.com/RSS.aspx?ID=22,NULL,TRUE,
PAL000155,Tim Mahoney,http://www.pahouse.com/pr/xml/361.xml,NULL,TRUE,
PAL000156,Sandra Major,http://www.repmajor.com/RSS.aspx?ID=66,NULL,TRUE,
PAL000159,Joseph F Markosek,http://www.pahouse.com/pr/xml/58.xml,NULL,TRUE,
PAL000160,Jim Marshall,http://www.repmarshall.com/RSS.aspx?ID=13,NULL,TRUE,
PAL000161,Ron Marsico,http://www.ronmarsico.com/RSS.aspx?ID=62,NULL,TRUE,
PAL000162,Robert F Matzie,http://www.pahouse.com/pr/xml/425.xml,NULL,TRUE,
PAL000164,Michael P McGeehan,http://www.pahouse.com/pr/xml/88.xml,NULL,TRUE,
PAL000167,Daryl D Metcalfe,http://www.repmetcalfe.com/RSS.aspx?ID=12,NULL,TRUE,
PAL000168,Carl Walker Metzgar,http://www.repmetzgar.com/RSS.aspx?ID=37,NULL,TRUE,
PAL000169,Nick Miccarelli,http://www.repmiccarelli.net/RSS.aspx?ID=85,NULL,TRUE,
PAL000170,Nicholas A Micozzie,http://www.repmicozzie.com/RSS.aspx?ID=86,NULL,TRUE,
PAL000171,David R Millard,http://www.repmillard.com/RSS.aspx?ID=64,NULL,TRUE,
PAL000172,Ron Miller,http://www.repmiller.com/RSS.aspx?ID=53,NULL,TRUE,
PAL000173,Duane Milne,http://www.duanemilne.com/RSS.aspx?ID=89,NULL,TRUE,
PAL000174,Rick Mirabito,http://www.pahouse.com/pr/xml/432.xml,NULL,TRUE,
PAL000175,Dan Moul,http://www.repmoul.com/RSS.aspx?ID=51,NULL,TRUE,
PAL000176,Phyllis Mundy,http://www.pahouse.com/pr/xml/95.xml,NULL,TRUE,
PAL000178,Thomas P Murt,http://www.repmurt.com/RSS.aspx?ID=81,NULL,TRUE,
PAL000179,T. Mark Mustio,http://www.repmustio.com/RSS.aspx?ID=25,NULL,TRUE,
PAL000182,Michael H. H O'Brien,http://www.pahouse.com/pr/xml/374.xml,NULL,TRUE,
PAL000183,Bernie O'Neill,http://www.reponeill.com/RSS.aspx?ID=19,NULL,TRUE,
PAL000184,Donna Oberlander,http://www.repoberlander.com/RSS.aspx?ID=33,NULL,TRUE,
PAL000187,Cherelle L Parker,http://www.pahouse.com/pr/xml/352.xml,NULL,TRUE,
PAL000188,Eddie Day Pashinski,http://www.pahouse.com/pr/xml/375.xml,NULL,TRUE,
PAL000189,John D Payne,http://www.reppayne.com/RSS.aspx?ID=158,NULL,TRUE,
PAL000191,Michael Peifer,http://www.reppeifer.com/RSS.aspx?ID=73,NULL,TRUE,
PAL000194,Joseph A Petrarca,http://www.pahouse.com/pr/xml/54.xml,NULL,TRUE,
PAL000195,Scott A Petri,http://www.reppetri.com/RSS.aspx?ID=96,NULL,TRUE,
PAL000197,Tina Pickett,http://www.reppickett.com/RSS.aspx?ID=65,NULL,TRUE,
PAL000199,Jeffrey P Pyle,http://www.jeffpyle.net/RSS.aspx?ID=30,NULL,TRUE,
PAL000201,Marguerite Quinn,http://www.repquinn.net/RSS.aspx?ID=75,NULL,TRUE,
PAL000202,Kathy L Rapp,http://www.reprapp.com/RSS.aspx?ID=35,NULL,TRUE,
PAL000203,Adam Ravenstahl,http://www.pahouse.com/pr/xml/31.xml,NULL,TRUE,
PAL000204,Harry Readshaw,http://www.pahouse.com/pr/xml/48.xml,NULL,TRUE,
PAL000205,Dave Reed,http://www.repdavereed.net/RSS.aspx?ID=32,NULL,TRUE,
PAL000206,Mike Reese,http://www.repreese.com/RSS.aspx?ID=29,NULL,TRUE,
PAL000208,Brad Roae,http://www.reproae.com/RSS.aspx?ID=8,NULL,TRUE,
PAL000209,Todd Rock,http://www.reprock.com/RSS.aspx?ID=50,NULL,TRUE,
PAL000210,James R Roebuck Jr.,http://www.pahouse.com/pr/xml/64.xml,NULL,TRUE,
PAL000212,Chris Ross,http://www.repross.com/RSS.aspx?ID=83,NULL,TRUE,
PAL000213,John P Sabatina Jr.,http://www.pahouse.com/pr/xml/355.xml,NULL,TRUE,
PAL000214,Chris Sainato,http://www.pahouse.com/pr/xml/19.xml,NULL,TRUE,
PAL000215,Steve Samuelson,http://www.pahouse.com/pr/xml/112.xml,NULL,TRUE,
PAL000216,Steven J Santarsiero,http://www.pahouse.com/pr/xml/428.xml,NULL,TRUE,
PAL000218,Stan Saylor,http://www.repsaylor.com/RSS.aspx?ID=54,NULL,TRUE,
PAL000219,Mario M Scavello,http://www.marioscavello.com/RSS.aspx?ID=94,NULL,TRUE,
PAL000224,Matthew Smith,http://www.pahouse.com/pr/xml/381.xml,NULL,TRUE,
PAL000225,Samuel H Smith,http://www.samsmithpahouse.com/RSS.aspx?ID=1,NULL,TRUE,
PAL000227,Timothy J Solobay,http://www.senatorsolobay.com/feed,NULL,TRUE,
PAL000228,Curtis G Sonney,http://www.repsonney.com/RSS.aspx?ID=6,NULL,TRUE,
PAL000230,Jerry Stern,http://www.jerrystern.com/RSS.aspx?ID=41,NULL,TRUE,
PAL000231,Richard R Stevenson,http://www.dickstevenson.com/RSS.aspx?ID=10,NULL,TRUE,
PAL000232,P. Michael Sturla,http://www.pahouse.com/pr/xml/96.xml,NULL,TRUE,
PAL000233,RoseMarie Swanger,http://www.repswanger.com/RSS.aspx?ID=60,NULL,TRUE,
PAL000234,Will Tallman,http://www.repwilltallman.com/RSS.aspx?ID=99,NULL,TRUE,
PAL000235,John Taylor,http://www.reptaylor.com/RSS.aspx?ID=95,NULL,TRUE,
PAL000237,W. Curtis Thomas,http://www.pahouse.com/pr/xml/23.xml,NULL,TRUE,
PAL000238,Marcy Toepel,http://www.reptoepel.com/RSS.aspx?ID=79,NULL,TRUE,
PAL000240,Mike Turzai,http://www.repturzai.com/RSS.aspx?ID=18,NULL,TRUE,
PAL000241,Mike Vereb,http://www.repvereb.com/RSS.aspx?ID=80,NULL,TRUE,
PAL000242,Greg Vitali,http://www.pahouse.com/pr/xml/47.xml,NULL,TRUE,
PAL000243,Randy Vulakovich,http://www.senatorvulakovich.com/feed/,NULL,TRUE,
PAL000246,Ronald G Waters,http://www.pahouse.com/pr/xml/100.xml,NULL,TRUE,
PAL000247,Katharine M Watson,http://www.kathywatson144.com/RSS.aspx?ID=76,NULL,TRUE,
PAL000248,Jake Wheatley,http://www.pahouse.com/pr/xml/309.xml,NULL,TRUE,
PAL000249,Jesse White,http://www.pahouse.com/pr/xml/384.xml,NULL,TRUE,
PAL000251,Rosita C Youngblood,http://www.pahouse.com/pr/xml/97.xml,NULL,TRUE,
PAL000252,John T Yudichak,http://www.senatoryudichak.com/feed,NULL,TRUE,
PAL000254,LeAnna M Washington,http://www.senatorwashington.com/feed,NULL,TRUE,
PAL000256,Neal P Goodman,http://www.pahouse.com/pr/xml/306.xml,NULL,TRUE,
PAL000264,Margo L Davidson,http://www.pahouse.com/pr/xml/480.xml,NULL,TRUE,
PAL000265,John P Blake,http://www.senatorblake.com/feed,NULL,TRUE,
PAL000266,James R Brewster,http://www.senatorbrewster.com/feed,NULL,TRUE,
PAL000270,Ryan P Aument,http://www.repaument.com/RSS.aspx?ID=122,NULL,TRUE,
PAL000271,Stephen Bloom,http://www.repbloom.com/RSS.aspx?ID=127,NULL,TRUE,
PAL000272,Kevin J Boyle,http://www.pahouse.com/pr/xml/481.xml,NULL,TRUE,
PAL000273,Rosemary M Brown,http://www.repbrown.com/RSS.aspx?ID=140,NULL,TRUE,
PAL000274,Michelle F Brownlee,http://www.pahouse.com/pr/xml/484.xml,NULL,TRUE,
PAL000275,Lynda Culver Schlegel,http://www.lyndaculver.com/RSS.aspx?ID=124,NULL,TRUE,
PAL000276,Tina M Davis,http://www.pahouse.com/pr/xml/475.xml,NULL,TRUE,
PAL000277,Pamela A DeLissio,http://www.pahouse.com/pr/xml/483.xml,NULL,TRUE,
PAL000278,George Dunbar,http://www.repdunbar.com/RSS.aspx?ID=130,NULL,TRUE,
PAL000279,Joe Emrick,http://www.repemrick.com/RSS.aspx?ID=136,NULL,TRUE,
PAL000280,Eli Evankovich,http://www.repevankovich.com/RSS.aspx?ID=129,NULL,TRUE,
PAL000281,Mark M Gillen,http://www.repgillen.com/RSS.aspx?ID=125,NULL,TRUE,
PAL000283,Joseph T Hackett,http://www.rephackett.com/RSS.aspx?ID=139,NULL,TRUE,
PAL000284,Doyle Heffley,http://www.repheffley.com/RSS.aspx?ID=133,NULL,TRUE,
PAL000285,Warren Kampf,http://www.repkampf.com/RSS.aspx?ID=138,NULL,TRUE,
PAL000286,Sid Michaels Kavulich,http://www.pahouse.com/pr/xml/466.xml,NULL,TRUE,
PAL000287,Fred Keller,http://www.repfredkeller.com/RSS.aspx?ID=123,NULL,TRUE,
PAL000288,Timothy Krieger,http://www.repkrieger.com/RSS.aspx?ID=28,NULL,TRUE,
PAL000289,John A Lawrence,http://www.replawrence.com/RSS.aspx?ID=128,NULL,TRUE,
PAL000290,David M Maloney Sr.,http://www.repmaloney.com/RSS.aspx?ID=135,NULL,TRUE,
PAL000292,Kurt A Masser,http://www.repmasser.com/RSS.aspx?ID=131,NULL,TRUE,
PAL000293,Gerald J Mullery,http://www.pahouse.com/pr/xml/468.xml,NULL,TRUE,
PAL000294,Brandon P Neuman,http://www.pahouse.com/pr/xml/460.xml,NULL,TRUE,
PAL000295,Rick Saccone,http://www.repsaccone.com/RSS.aspx?ID=141,NULL,TRUE,
PAL000296,Justin J. Simmons,http://www.repsimmons.com/RSS.aspx?ID=126,NULL,TRUE,
PAL000297,Todd Stephens,http://www.reptoddstephens.com/RSS.aspx?ID=137,NULL,TRUE,
PAL000298,Mike Tobash,http://www.reptobash.com/RSS.aspx?ID=134,NULL,TRUE,
PAL000299,Tarah Toohil,http://www.reptoohil.com/RSS.aspx?ID=132,NULL,TRUE,
PAL000300,Dan Truitt,http://www.reptruitt.com/RSS.aspx?ID=142,NULL,TRUE,
PAL000301,"Schwank, Judith L. ",http://www.senatorschwank.com/feed,NULL,TRUE,
PAL000303,"Donatucci, Maria P.",http://www.pahouse.com/pr/xml/486.xml,NULL,TRUE,
PAL000344,"Dean, Madeleine ",http://www.pahouse.com/pr/xml/488.xml,NULL,TRUE,
PAL000376,"Mackenzie, Ryan E.",http://www.repmackenzie.com/RSS.aspx?ID=71,NULL,TRUE,
PAL000390,"Neilson, Ed ",http://www.pahouse.com/pr/xml/489.xml,NULL,TRUE,
PAL000436,"Vulakovich, Randy ",http://www.senatorvulakovich.com/feed/,NULL,TRUE,
PAL000437,"Hutchinson, Scott ",http://www.senatorscotthutchinson.com/feed/,NULL,TRUE,
PAL000439,"Teplitz, Rob ",http://www.senatorteplitz.com/feed,NULL,TRUE,
PAL000440,"Wiley, Sean ",http://www.senatorwiley.com/feed,NULL,TRUE,
PAL000441,"Bizzarro, Ryan A.",http://www.pahouse.com/pr/xml/505.xml,NULL,TRUE,
PAL000442,"Clay, James ",http://www.pahouse.com/pr/xml/509.xml,NULL,TRUE,
PAL000443,"Corbin, Becky ",http://www.repcorbin.com/RSS.aspx?ID=82,NULL,TRUE,
PAL000444,"Daley, Mary Jo ",http://www.pahouse.com/pr/xml/502.xml,NULL,TRUE,
PAL000445,"English, Harold A.",http://www.repenglish.com/RSS.aspx?ID=20,NULL,TRUE,
PAL000446,"Farina, Frank ",http://www.pahouse.com/pr/xml/492.xml,NULL,TRUE,
PAL000447,"Fee, Mindy ",http://www.repfee.com/RSS.aspx?ID=21,NULL,TRUE,
PAL000448,"Flynn, Marty ",http://www.pahouse.com/pr/xml/493.xml,NULL,TRUE,
PAL000449,"Gainey, Ed ",http://www.pahouse.com/pr/xml/494.xml,NULL,TRUE,
PAL000450,"Greiner, Keith J.",http://www.repgreiner.com/RSS.aspx?ID=24,NULL,TRUE,
PAL000451,"Haggerty, Kevin ",http://www.pahouse.com/pr/xml/498.xml,NULL,TRUE,
PAL000452,"Harris, Jordan A.",http://www.pahouse.com/pr/xml/496.xml,NULL,TRUE,
PAL000453,"James, R. Lee ",http://www.repjames.com/RSS.aspx?ID=34,NULL,TRUE,
PAL000454,"Kim, Patty ",http://www.pahouse.com/pr/xml/507.xml,NULL,TRUE,
PAL000455,"Kinsey, Stephen ",http://www.pahouse.com/pr/xml/495.xml,NULL,TRUE,
PAL000456,"Lucas, Gregory S.",http://www.replucas.com/RSS.aspx?ID=7,NULL,TRUE,
PAL000457,"McCarter, Stephen ",http://www.pahouse.com/pr/xml/508.xml,NULL,TRUE,
PAL000458,"McGinnis, John D",http://www.repmcginnis.com/RSS.aspx?ID=40,NULL,TRUE,
PAL000459,"McNeill, Daniel T.",http://www.pahouse.com/pr/xml/510.xml,NULL,TRUE,
PAL000460,"Mentzer, Steven C.",http://www.repmentzer.com/RSS.aspx?ID=55,NULL,TRUE,
PAL000461,"Miranda, J.P. ",http://www.pahouse.com/pr/xml/504.xml,NULL,TRUE,
PAL000462,"Molchany, Erin C.",http://www.pahouse.com/pr/xml/501.xml,NULL,TRUE,
PAL000463,"Painter, Mark ",http://www.pahouse.com/pr/xml/500.xml,NULL,TRUE,
PAL000464,"Regan, Mike ",http://www.repmikeregan.com/RSS.aspx?ID=52,NULL,TRUE,
PAL000465,"Rozzi, Mark ",http://www.pahouse.com/pr/xml/506.xml,NULL,TRUE,
PAL000466,"Sankey, Tommy ",http://www.repsankey.com/RSS.aspx?ID=165,NULL,TRUE,
PAL000467,"Schlossberg, Michael H.",http://www.pahouse.com/pr/xml/503.xml,NULL,TRUE,
PAL000468,"Sims, Brian ",http://www.pahouse.com/pr/xml/499.xml,NULL,TRUE,
PAL000469,"Snyder , Pam ",http://www.pahouse.com/pr/xml/497.xml,NULL,TRUE,
